race_id,date,jcd,venue,race_no,waku,reg_no,player_name,branch,age,grade,motor_no,boat_no,rank,result_time,course,st,payout,weather
202301010602,2023-01-01,06,浜名湖,2,5,1,1,5,,,,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 3 - 4 ¥5,400 26 3連複 1 = 3 = 4 ¥2,250 8 2連単 1 - 3 ¥2,100 10 2連複 1 = 3 ¥1,540 7 拡連複 1 = 3 ¥700 8 1 = 4 ¥100 1 3 = 4 ¥960 10 単勝 1 ¥260 複勝 1 ¥180 3 ¥840",水面気象情報 気温 9.0℃ 晴 風速 3m 水温 8.0℃ 波高 2cm スタンド
202301010602,2023-01-01,06,浜名湖,2,6,1,1,3,,,,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 3 - 4 ¥5,400 26 3連複 1 = 3 = 4 ¥2,250 8 2連単 1 - 3 ¥2,100 10 2連複 1 = 3 ¥1,540 7 拡連複 1 = 3 ¥700 8 1 = 4 ¥100 1 3 = 4 ¥960 10 単勝 1 ¥260 複勝 1 ¥180 3 ¥840",水面気象情報 気温 9.0℃ 晴 風速 3m 水温 8.0℃ 波高 2cm スタンド
202301010603,2023-01-01,06,浜名湖,3,1,6,6,,,,,,,,,,"勝式 組番 払戻金 人気 3連単 3 - 4 - 2 ¥12,660 42 3連複 2 = 3 = 4 ¥1,110 5 2連単 3 - 4 ¥5,100 19 2連複 3 = 4 ¥2,950 10 拡連複 3 = 4 ¥720 10 2 = 3 ¥170 3 2 = 4 ¥190 4 単勝 3 ¥1,070 複勝 3 ¥830 4 ¥830",水面気象情報 気温 10.0℃ 晴 風速 3m 水温 8.0℃ 波高 2cm スタンド
202301010603,2023-01-01,06,浜名湖,3,2,,,,,,,,,,,,"勝式 組番 払戻金 人気 3連単 3 - 4 - 2 ¥12,660 42 3連複 2 = 3 = 4 ¥1,110 5 2連単 3 - 4 ¥5,100 19 2連複 3 = 4 ¥2,950 10 拡連複 3 = 4 ¥720 10 2 = 3 ¥170 3 2 = 4 ¥190 4 単勝 3 ¥1,070 複勝 3 ¥830 4 ¥830",水面気象情報 気温 10.0℃ 晴 風速 3m 水温 8.0℃ 波高 2cm スタンド
202301010603,2023-01-01,06,浜名湖,3,3,1,1,2,,,,,,,,,"勝式 組番 払戻金 人気 3連単 3 - 4 - 2 ¥12,660 42 3連複 2 = 3 = 4 ¥1,110 5 2連単 3 - 4 ¥5,100 19 2連複 3 = 4 ¥2,950 10 拡連複 3 = 4 ¥720 10 2 = 3 ¥170 3 2 = 4 ¥190 4 単勝 3 ¥1,070 複勝 3 ¥830 4 ¥830",水面気象情報 気温 10.0℃ 晴 風速 3m 水温 8.0℃ 波高 2cm スタンド
202301010603,2023-01-01,06,浜名湖,3,4,2,2,6,,,,,,,,,"勝式 組番 払戻金 人気 3連単 3 - 4 - 2 ¥12,660 42 3連複 2 = 3 = 4 ¥1,110 5 2連単 3 - 4 ¥5,100 19 2連複 3 = 4 ¥2,950 10 拡連複 3 = 4 ¥720 10 2 = 3 ¥170 3 2 = 4 ¥190 4 単勝 3 ¥1,070 複勝 3 ¥830 4 ¥830",水面気象情報 気温 10.0℃ 晴 風速 3m 水温 8.0℃ 波高 2cm スタンド
202301010603,2023-01-01,06,浜名湖,3,5,6,6,4,,,,,,,,,"勝式 組番 払戻金 人気 3連単 3 - 4 - 2 ¥12,660 42 3連複 2 = 3 = 4 ¥1,110 5 2連単 3 - 4 ¥5,100 19 2連複 3 = 4 ¥2,950 10 拡連複 3 = 4 ¥720 10 2 = 3 ¥170 3 2 = 4 ¥190 4 単勝 3 ¥1,070 複勝 3 ¥830 4 ¥830",水面気象情報 気温 10.0℃ 晴 風速 3m 水温 8.0℃ 波高 2cm スタンド
202301010603,2023-01-01,06,浜名湖,3,6,,,,,,,,,,,,"勝式 組番 払戻金 人気 3連単 3 - 4 - 2 ¥12,660 42 3連複 2 = 3 = 4 ¥1,110 5 2連単 3 - 4 ¥5,100 19 2連複 3 = 4 ¥2,950 10 拡連複 3 = 4 ¥720 10 2 = 3 ¥170 3 2 = 4 ¥190 4 単勝 3 ¥1,070 複勝 3 ¥830 4 ¥830",水面気象情報 気温 10.0℃ 晴 風速 3m 水温 8.0℃ 波高 2cm スタンド
202301010604,2023-01-01,06,浜名湖,4,1,3,3,4,,,,,,,,,"勝式 組番 払戻金 人気 3連単 4 - 1 - 6 ¥9,810 23 3連複 1 = 4 = 6 ¥1,360 7 2連単 4 - 1 ¥1,970 6 2連複 1 = 4 ¥360 2 拡連複 1 = 4 ¥150 2 4 = 6 ¥800 12 1 = 6 ¥450 8 単勝 4 ¥470 複勝 4 ¥130 1 ¥100",水面気象情報 気温 10.0℃ 晴 風速 5m 水温 8.0℃ 波高 3cm スタンド
202301010604,2023-01-01,06,浜名湖,4,2,,,,,,,,,,,,"勝式 組番 払戻金 人気 3連単 4 - 1 - 6 ¥9,810 23 3連複 1 = 4 = 6 ¥1,360 7 2連単 4 - 1 ¥1,970 6 2連複 1 = 4 ¥360 2 拡連複 1 = 4 ¥150 2 4 = 6 ¥800 12 1 = 6 ¥450 8 単勝 4 ¥470 複勝 4 ¥130 1 ¥100",水面気象情報 気温 10.0℃ 晴 風速 5m 水温 8.0℃ 波高 3cm スタンド
