race_id,date,jcd,venue,race_no,waku,reg_no,player_name,branch,age,grade,motor_no,boat_no,rank,result_time,course,st,sanrentan_combo,sanrentan_payout,sanrenpuku_combo,sanrenpuku_payout,niren_tan_combo,niren_tan_payout,niren_puku_combo,niren_puku_payout,kakuren_combos,kakuren_payouts,tansho_waku,tansho_payout,fukusho_wakus,fukusho_payouts,temp,weather,wind_speed,water_temp,wave_height,kimari_te
202401010601,2024-01-01,6,浜名湖,1,1,4918,川島　　拓郎,静岡,35,B1,727,5341,2.0,"1'50""8",1.0,0.05,4-1-5,15090,1=4=5,4300,4-1,1200,1=4,660,1=4|4=5|1=5,400|710|660,4,200,4|1,210|190,11.0,晴,6,11.0,3,まくり
202401010601,2024-01-01,6,浜名湖,1,2,3489,大場　　　敏,静岡,56,A1,3727,4825,4.0,"1'54""3",2.0,0.16,4-1-5,15090,1=4=5,4300,4-1,1200,1=4,660,1=4|4=5|1=5,400|710|660,4,200,4|1,210|190,11.0,晴,6,11.0,3,まくり
202401010601,2024-01-01,6,浜名湖,1,3,4058,野末　　智一,静岡,44,B1,3234,2240,5.0,,3.0,0.13,4-1-5,15090,1=4=5,4300,4-1,1200,1=4,660,1=4|4=5|1=5,400|710|660,4,200,4|1,210|190,11.0,晴,6,11.0,3,まくり
202401010601,2024-01-01,6,浜名湖,1,4,4150,山田　　雄太,静岡,41,A2,6035,3630,1.0,"1'49""9",4.0,0.11,4-1-5,15090,1=4=5,4300,4-1,1200,1=4,660,1=4|4=5|1=5,400|710|660,4,200,4|1,210|190,11.0,晴,6,11.0,3,まくり
202401010601,2024-01-01,6,浜名湖,1,5,5316,村松　　将平,静岡,23,B2,2435,4130,3.0,"1'52""3",5.0,0.15,4-1-5,15090,1=4=5,4300,4-1,1200,1=4,660,1=4|4=5|1=5,400|710|660,4,200,4|1,210|190,11.0,晴,6,11.0,3,まくり
202401010601,2024-01-01,6,浜名湖,1,6,3294,野中　　義生,静岡,58,B1,2132,2635,6.0,,6.0,0.12,4-1-5,15090,1=4=5,4300,4-1,1200,1=4,660,1=4|4=5|1=5,400|710|660,4,200,4|1,210|190,11.0,晴,6,11.0,3,まくり
202401010602,2024-01-01,6,浜名湖,2,1,4625,渡邊　　裕貴,静岡,37,B1,629,6748,2.0,"1'51""7",1.0,0.05,3-1-2,2130,1=2=3,840,3-1,390,1=3,250,1=3|2=3|1=2,250|450|890,3,160,3|1,110|150,11.0,晴,6,11.0,3,まくり
202401010602,2024-01-01,6,浜名湖,2,2,5110,杉山　　喜一,静岡,24,B1,1338,5731,3.0,"1'53""1",2.0,0.15,3-1-2,2130,1=2=3,840,3-1,390,1=3,250,1=3|2=3|1=2,250|450|890,3,160,3|1,110|150,11.0,晴,6,11.0,3,まくり
202401010602,2024-01-01,6,浜名湖,2,3,4524,深谷　　知博,静岡,35,A1,1731,4336,1.0,"1'50""2",3.0,0.1,3-1-2,2130,1=2=3,840,3-1,390,1=3,250,1=3|2=3|1=2,250|450|890,3,160,3|1,110|150,11.0,晴,6,11.0,3,まくり
202401010602,2024-01-01,6,浜名湖,2,4,3563,堤　　　　昇,静岡,54,A2,2929,4929,6.0,,4.0,0.18,3-1-2,2130,1=2=3,840,3-1,390,1=3,250,1=3|2=3|1=2,250|450|890,3,160,3|1,110|150,11.0,晴,6,11.0,3,まくり
202401010602,2024-01-01,6,浜名湖,2,5,4216,星　　　栄爾,静岡,38,B1,4936,5936,4.0,"1'55""0",5.0,0.29,3-1-2,2130,1=2=3,840,3-1,390,1=3,250,1=3|2=3|1=2,250|450|890,3,160,3|1,110|150,11.0,晴,6,11.0,3,まくり
202401010602,2024-01-01,6,浜名湖,2,6,3474,松瀬　　弘美,静岡,53,B1,531,3129,5.0,,6.0,0.35,3-1-2,2130,1=2=3,840,3-1,390,1=3,250,1=3|2=3|1=2,250|450|890,3,160,3|1,110|150,11.0,晴,6,11.0,3,まくり
202401010603,2024-01-01,6,浜名湖,3,1,4068,幸田　　智裕,静岡,43,B1,6340,6534,2.0,"1'51""7",1.0,0.15,2-1-6,4930,1=2=6,1260,2-1,2570,1=2,690,1=2|2=6|1=6,550|320|220,2,330,2|1,130|220,11.0,晴,5,11.0,3,差し
202401010603,2024-01-01,6,浜名湖,3,2,5205,刑部　亜里紗,静岡,26,B1,337,2853,1.0,"1'49""2",2.0,0.17,2-1-6,4930,1=2=6,1260,2-1,2570,1=2,690,1=2|2=6|1=6,550|320|220,2,330,2|1,130|220,11.0,晴,5,11.0,3,差し
202401010603,2024-01-01,6,浜名湖,3,3,4793,金子　　　萌,静岡,33,A2,6435,5634,6.0,,3.0,0.15,2-1-6,4930,1=2=6,1260,2-1,2570,1=2,690,1=2|2=6|1=6,550|320|220,2,330,2|1,130|220,11.0,晴,5,11.0,3,差し
202401010603,2024-01-01,6,浜名湖,3,4,4131,原　　　豊土,静岡,43,A2,1134,7340,5.0,,4.0,0.14,2-1-6,4930,1=2=6,1260,2-1,2570,1=2,690,1=2|2=6|1=6,550|320|220,2,330,2|1,130|220,11.0,晴,5,11.0,3,差し
202401010603,2024-01-01,6,浜名湖,3,5,5269,山口　　晃朋,静岡,22,B2,1627,1236,4.0,"1'53""6",5.0,0.16,2-1-6,4930,1=2=6,1260,2-1,2570,1=2,690,1=2|2=6|1=6,550|320|220,2,330,2|1,130|220,11.0,晴,5,11.0,3,差し
202401010603,2024-01-01,6,浜名湖,3,6,3956,横澤　　剛治,静岡,46,A1,1839,6934,3.0,"1'52""7",6.0,0.14,2-1-6,4930,1=2=6,1260,2-1,2570,1=2,690,1=2|2=6|1=6,550|320|220,2,330,2|1,130|220,11.0,晴,5,11.0,3,差し
202401010604,2024-01-01,6,浜名湖,4,1,5248,本田　　　愛,静岡,21,B2,5032,5241,6.0,,1.0,0.07,5-4-3,2220,3=4=5,300,5-4,1280,4=5,920,4=5|3=5|3=4,200|130|180,5,440,5|4,340|340,12.0,晴,5,11.0,3,差し
202401010604,2024-01-01,6,浜名湖,4,2,4840,鈴木　　秀茉,静岡,32,B1,436,5033,4.0,"1'53""7",2.0,0.12,5-4-3,2220,3=4=5,300,5-4,1280,4=5,920,4=5|3=5|3=4,200|130|180,5,440,5|4,340|340,12.0,晴,5,11.0,3,差し
202401010604,2024-01-01,6,浜名湖,4,3,3987,後藤　　正宗,静岡,45,A2,939,6256,3.0,"1'52""9",3.0,0.15,5-4-3,2220,3=4=5,300,5-4,1280,4=5,920,4=5|3=5|3=4,200|130|180,5,440,5|4,340|340,12.0,晴,5,11.0,3,差し
202401010604,2024-01-01,6,浜名湖,4,4,4076,杉田　　篤光,静岡,45,A2,2048,2031,2.0,"1'51""8",4.0,0.21,5-4-3,2220,3=4=5,300,5-4,1280,4=5,920,4=5|3=5|3=4,200|130|180,5,440,5|4,340|340,12.0,晴,5,11.0,3,差し
